Слово,Транскрипция,Перевод
爱,ài,любить; любовь; любимый
八,bā,восемь; восьмой
爸爸,bàba,"папа, тятя"
杯子,bēizi,стакан; кружка; бокал; рюмка
北京,běijīng,Пекин
本,běn,"счётное слово для растений, цветов"
不客气,bùkěqi,не церемоньтесь!; не стесняйтесь!
不,bù,отрицательная частица не
菜,cài,овощи; блюдо; пища; стол
茶,chá,чай
吃,chī,"есть, кушать"
出租车,chūzūchē,такси
打电话,dǎ diànhuà,звонить по телефону
大,dà,большой; крупный; великий; огромный
的,de,суффикс прилагательного; суффикс притяжательности
点,diǎn,"капля; немножко, чуточку; точка; запятая"
电脑,diànnǎo,компьютер
电视,diànshì,телевидение; телевизионный
电影,diànyǐng,кино
东西,dōngxi,вещь; предмет
都,dōu,все; всё
读,dú,читать; зачитывать
对不起,duìbuqǐ,"виноват!, простите!, извините!"
多,duō,много; многочисленный; свыше
多少,duōshao,сколько?
儿子,érzi,сын
二,èr,два; второй
饭馆,fànguǎn,ресторан; столовая
飞机,fēijī,самолёт
分钟,fēnzhōng,минута
高兴,gāoxìng,радоваться; радостный
个,gè,универсальное сч. сл.; отдельный; индивидуальный
工作,gōngzuò,работать; работа
狗,gǒu,собака; собачий
汉语,hànyǔ,китайский язык
好,hǎo,хороший; хорошо; приятный; удобный
喝,hē,пить
和,hé,мирный; союз и; предлог с
很,hěn,очень; весьма
后面,hòumiàn,"задняя сторона; зад; позади, сзади; задний"
回,huí,возвращаться
会,huì,уметь; мочь; владеть; собрание; заседание
火车站,huǒchēzhàn,вокзал; железнодорожная станция
几,jǐ,сколько?; несколько; немного
家,jiā,семья; семейство; дом; домашний
叫,jiào,кричать; крик; звать; подзывать; вызывать
今天,jīntiān,сегодня; нынешний день
九,jiǔ,девять; девятый
开,kāi,открывать; управлять; вести; включать
看,kàn,смотреть; читать (про себя); навестить
看见,kànjiàn,увидеть; видеть
块,kuài,сч. сл. для основных денежных единиц; кусок; глыба
来,lái,приходить; прибывать; приезжать
老师,lǎoshī,учитель; преподаватель
了,le,глагольный суффикс завершенности действия
冷,lěng,холодный; холодно; холод
里,lǐ,внутри; в
零,líng,ноль; нолевой
六,liù,шесть; шестой
妈妈,māma,мама
吗,ma,"фразовая частица, выражающая вопрос"
买,mǎi,"покупать, приобретать"
猫,māo,кошка
没,méi,отрицательная частица
没关系,méi guānxi,неважно; ничего; пустяки
米饭,mǐfàn,варёный рис
明天,míngtiān,завтра; завтрашний день
名字,míngzi,имя (человека); кличка (животного)
哪,nǎ,какой; который
那,nà,"тот; то; тогда, в таком случае"
呢,ne,"фразовая частица, выражающая вопрос же?"
能,néng,способный; способность
你,nǐ,ты; вы; твой; ваш
年,nián,год; годы
女儿,nǚ’er,дочь
朋友,péngyou,"друг, товарищ; друзья"
漂亮,piàoliang,красивый
苹果,píngguǒ,яблоко
七,qī,семь; седьмой
钱,qián,деньги
前面,qiánmian,перед; передний; впереди; перёд; выше; ранее
请,qǐng,просить; пожалуйста!; приглашать
去,qù,уходить; отправляться; идти
热,rè,горячий; увлечение; мода
人,rén,человек; люди
认识,rènshi,знать; быть знакомым; знакомиться
日,rì,"солнце; солнечный; день; число, дата"
三,sān,три; третий
商店,shāngdiàn,магазин
上,shàng,верх; прошлый; на; в
上午,shàngwǔ,до полудня
少,shǎo,мало; немного; редко
谁,"shuí, shéi",кто; кого; чей
什么,shénme,"что?, что такое?; какой?; как?"
十,shí,десять; десятый
时候,shíhou,"время, промежуток; времени; во время"
是,shì,есть; быть; являться; да; правда
书,shū,книга
水,shuǐ,вода; водяной; гидро-
水果,shuǐguǒ,фрукты; фруктовый
睡觉,shuìjiào,спать
说话,shuōhuà,говорить; разговаривать
四,sì,четыре; четвёртый
岁,suì,годы; лета
他,tā,он; его
她,tā,она; её
太,tài,"слишком, чересчур; чрезвычайно"
天气,tiānqì,погода; климат
听,tīng,слушать
同学,tóngxué,"соученик, однокашник"
喂,wèi,кормить; алло!; эй!
我,wǒ,я; мой; наш
我们,wǒmen,мы; наш
五,wǔ,пять; пятый
喜欢,xǐhuan,нравиться; любить
下,xià,"нижний; низ; послелог под, при; следующий"
下午,xiàwǔ,"вторая половина дня, после полудня"
下雨,xiàyǔ,идёт дождь; стоит дождливая погода
先生,xiānsheng,господин; мистер
现在,xiànzài,теперь; сейчас; ныне
想,xiǎng,думать; собираться; хотеть
小,xiǎo,маленький; мелкий; малый; молодой; младший
小姐,xiǎojie,барышня; мисс
些,xiē,"немного, несколько"
写,xiě,писать; записывать; описывать
谢谢,xièxie,"спасибо, благодарю; благодарить"
星期,xīngqī,неделя
学生,xuésheng,студент; ученик; учащийся
学习,xuéxí,"учиться; обучаться; обучение, учёба"
学校,xuéxiào,школа; учебное заведение; училище
一,yī,один; единица; первый
衣服,yīfu,одежда; платье; костюм
医生,yīsheng,"врач, доктор"
医院,yīyuàn,больница; госпиталь
椅子,yǐzi,стул
有,yǒu,иметь(ся); иметь в наличии; обладать; есть
月,yuè,луна; месяц
在,zài,быть в живых; существовать; находиться; в; на
再见,zàijiàn,до свидания
怎么,zěnme,"как?, каким образом?"
怎么样,zěnmeyàng,"как, каким образом; каков"
这,zhè,"это, этот"
中国,zhōngguó,Китай; китайский
中午,zhōngwǔ,полдень
住,zhù,"жить, проживать"
桌子,zhuōzi,стол
字,zì,иероглиф; слово
昨天,zuótiān,вчера; вчерашний день
坐,zuò,сидеть; садиться; ехать на [в]
做,zuò,делать; изготавливать; быть [работать] кем-либо; писать
