Слово,Транскрипция,Перевод
阿姨,àyí,"тётя, тётка"
啊,ā,"межд. удивления, удовлетворения"
矮,ǎi,"низкорослый, низкий"
爱,ài,любить; любовь; любимый
爱好,àihào,хобби
爱情,ài qíng,любовь; чувство любви
安静,ānjìng,покойный; тихий; тишина; покой
安排,ānpái,налаживать; устраивать; планировать
安全,ānquán,безопасность; безопасный
暗,àn,тёмный; мрачный; тусклый
按时,ànshí,вовремя; своевременно
按照,ànzhào,согласно; по; в соответствии с
八,bā,восемь; восьмой
把,bǎ,"сч. слово для существительных, обозначающих предметы с ручкой"
爸爸,bàba,папа
吧,ba,выражает побуждение или предположение
白,bái,белый; седой
百,bǎi,сто; сотня
班,bān,группа; класс
搬,bān,передвигать; переносить; перетаскивать
半,bàn,половина; полу-; пол-
办法,bànfǎ,"способ, метод"
办公室,bàngōngshì,офис
帮忙,bāngmáng,помогать
帮助,bāngzhù,помогать; помощь
包,bāo,"завёртывать, обёртывать; упаковывать; перевязывать"
包括,bāokuò,"охватывать, включать; в том числе"
饱,bǎo,насытиться; досыта
保护,bǎohù,защищать; охранять; охрана
保证,bǎozhèng,гарантировать; ручаться; обязываться; гарантия; залог; обязательство
抱,bào,обнимать; охватывать руками
抱歉,bàoqiàn,"сожалеть, выражать сожаление; к сожалению"
报道,bàodào,"сообщать, информировать"
报名,bàomíng,"записаться, зарегистрироваться"
报纸,bàozhǐ,газета; газеты
杯子,bēizi,"чашка; чарка, рюмка"
北方,běifāng,север; северный
北京,běijīng,Пекин
被,bèi,одеяло
倍,bèi,раз; крат
本,běn,стебель; корень
本来,běnlái,"первоначальный; истинный; вообще говоря, собственно говоря"
笨,bèn,глупый; тупой
鼻子,bízi,нос
比,bǐ,сравнивать; в сравнении
比较,bǐjiào,сравнительно
比赛,bǐsài,"соревнования, состязания"
笔记本,bǐjìběn,ноутбук
必须,bìxū,"необходимо, должно"
毕业,bìyè,закончить курс; окончить
遍,biàn,раз; разок
变化,biànhuà,"изменение, перемена; сдвиг; перемены"
标准,biāozhǔn,стандарт; норма; критерий; стандартный; нормативный
表达,biǎodá,"выражать (напр., мысли); передавать (смысл)"
表格,biǎogé,бланк; форма
表示,biǎoshì,выражать; высказывать; заявлять
表演,biǎoyǎn,исполнять; играть
表扬,biǎoyáng,"отмечать, поощрять"
别,bié,разлучаться; другой; иной; прочий
别人,biéren,"другие; посторонние, чужие"
宾馆,bīnguǎn,гостиница
冰箱,bīngxīang,холодильник
饼干,bǐnggān,печенье; бисквит
并且,bìngqiě,к тому же; вместе с тем; и
博士,bóshì,доктор (наук)
不但,bùdàn,не только
不过,bùguò,однако; впрочем
不客气,bùkěqi,не церемоньтесь!; не стесняйтесь!
不,bù,отрицательная частица не
不得不,bùdébù,быть вынужденным
不管,bùguǎn,"несмотря на (то, что); независимо от того; как бы ни; будь то; кто бы ни"
不仅,bùjǐn,не только
部分,bùfen,часть; доля
擦,cā,тереть; вытирать
猜,cāi,догадываться; угадывать
才,cái,"только, только что; только тогда; только в этом случае"
材料,cáiliào,материал
菜,cài,овощи; блюдо; пища; стол
菜单,càidān,меню
参观,cānguān,"совершать экскурсию; посещать, осматривать"
参加,cānjiā,участвовать; принимать участие; присутствовать
草,cǎo,трава; солома; сено
层,céng,"слой, прослойка; ярус; этаж"
茶,chá,чай
差,chà,разница; отличие; отличаться от; недоставать
差不多,chàbuduō,"почти одинаковый, почти одно и то же"
尝,cháng,попробовать на вкус; отведать
长,cháng,"длинный; длительный, долгий"
长,zhǎng,расти; вырасти
长城,chángchéng,Великая китайская стена
长江,chángjiāng,Чанцзян [Янцзы]
场,chǎng,площадь; площадка; поле
唱歌,chànggē,петь; пение
超过,chāoguò,обогнать; опередить
超市,chāoshì,супермаркет
吵,chǎo,"шуметь, галдеть"
衬衫,chènshān,рубашка
成功,chénggōng,успех; успешный; завершиться успехом
成绩,chéngjī,успехи; достижения
成熟,chéngshú,созреть; зрелый
成为,chéngwéi,стать; превратиться в
诚实,chéngshí,"честный, правдивый; честно, правдиво"
城市,chéngshì,город; городской
乘坐,chéngzuò,сидеть верхом
吃,chī,"есть, кушать; принимать внутрь"
吃惊,chījīng,испугаться; перепугаться
迟到,chídào,опоздать
重新,chóngxīn,"вновь, снова; заново; пере-"
抽烟,chōuyān,курить; курение
出,chū,выходить; выезжать; превышать
出差,chūchāi,командировка; ехать в командировку
出发,chūfā,отправиться; выступить
出生,chūshēng,родиться; появиться на свет
出现,chūxiàn,появиться; возникнуть
出租车,chūzūchē,такси
