Слово,Транскрипция,Перевод
爱,ài,любить; любовь; любимый
八,bā,восемь; восьмой
爸爸,bàba,"папа, тятя"
吧,ba,выражает побуждение или предположение
白,bái,белый; седой
百,bǎi,сто; сотня
帮助,bāngzhù,помогать; помощь
报纸,bàozhǐ,газета; газеты
杯子,bēizi,стакан; кружка; бокал; рюмка
北京,běijīng,Пекин
本,běn,"счётное слово для растений, цветов"
比,bǐ,сравнивать; в сравнении
别,bié,"расставаться, разлучатьсяне нужно; нечего; не"
不客气,bùkěqi,не церемоньтесь!; не стесняйтесь!
不,bù,отрицательная частица не
菜,cài,овощи; блюдо; пища; стол
茶,chá,чай
长,cháng,"длинный; длительный, долгий"
唱歌,chànggē,петь; пение
吃,chī,"есть, кушать"
出,chū,выходить; выезжать; превышать
出租车,chūzūchē,такси
穿,chuān,пронзить; пробить; одевать; надевать
船,chuán,"судно, корабль; пароход; лодка"
次,cì,следующий; второй; раз
从,cóng,из; от; с
错,cuò,неправильный; ошибочный; ошибаться; ошибочно
打电话,dǎ diànhuà,звонить по телефону
打篮球,dǎlánqiú,играть в баскетбол
大,dà,большой; крупный; великий; огромный
大家,dàjiā,все; все вместе
但是,dànshì,но; однако; тем не менее
到,dào,достигать; прибывать; до
的,de,суффикс прилагательного; суффикс притяжательности
得,de,"показатель обстоятельства, следующего за сказуемым"
等,děng,"ожидать, ждать"
弟弟,dìdi,младший брат
第一,dìyī,первый; во-первых; первейший; номер один
点,diǎn,"капля; немножко, чуточку; точка; запятая"
电脑,diànnǎo,компьютер
电视,diànshì,телевидение; телевизионный
电影,diànyǐng,кино
东西,dōngxi,вещь; предмет
懂,dǒng,"понять, уразуметь"
都,dōu,все; всё
读,dú,читать; зачитывать
对不起,duìbuqǐ,"виноват!, простите!, извините!"
多,duō,много; многочисленный; свыше
多少,duōshao,сколько?
儿子,érzi,сын
二,èr,два; второй
对,duì,"пара; правильный, верный; правильно!, верно!"
饭馆,fànguǎn,ресторан; столовая
房间,fángjiān,комната; номер
非常,fēicháng,чрезвычайный; необыкновенный
飞机,fēijī,самолёт
分钟,fēnzhōng,минута
服务员,fúwùyuán,обслуживающий персонал; официант
高,gāo,высокий; высший (об образовании)
高兴,gāoxìng,радоваться; радостный
告诉,gàosu,сказать; сообщить
哥哥,gēge,старший брат
个,gè,универсальное сч. сл.; отдельный; индивидуальный
给,gěi,давать; предоставлять
公共汽车,gōnggòng qìchē,автобус
公斤,gōngjīn,килограмм
公司,gōngsī,компания; фирма
工作,gōngzuò,работать; работа
狗,gǒu,собака; собачий
贵,guì,дорогой; ценный
过,guō,проходить через; переходить; пересекать; отмечать; справлять (о праздниках)
还,hái,ещё; всё ещё
孩子,háizi,"ребёнок, дитя"
汉语,hànyǔ,китайский язык
好,hǎo,хороший; хорошо; приятный; удобный
好吃,hǎochī,вкусный
号,hào,название; размер; число (месяца)
喝,hē,пить
和,hé,мирный; союз и; предлог с
黑,hēi,чёрный; тёмный; мрачный
很,hěn,очень; весьма
红,hóng,"красный, алый"
后面,hòumiàn,"задняя сторона; зад; позади, сзади; задний"
欢迎,huānyíng,приветствовать; встречать
回,huí,возвращаться
回答,huídá,отвечать; ответ
会,huì,уметь; мочь; владеть; собрание; заседание
火车站,huǒchēzhàn,вокзал; железнодорожная станция
机场,jīchǎng,аэродром
鸡蛋,jīdàn,куриное яйцо
几,jǐ,сколько?; несколько; немного
家,jiā,семья; семейство; дом; домашний
件,jiàn,"сч. сл. для предметов одежды, дел, вещей, документов"
叫,jiào,кричать; крик; звать; подзывать; вызывать
教室,jiàoshì,класс; аудитория
姐姐,jiějie,старшая сестра; в обращении сестрица
介绍,jièshào,"рекомендовать; знакомить, представлять"
今天,jīntiān,сегодня; нынешний день
进,jìn,идти [продвигаться] вперёд; входить
近,jìn,"близкий, вблизи; рядом"
九,jiǔ,девять; девятый
就,jiù,"именно, как раз; сейчас же, немедленно; тогда; то; в таком случае"
觉得,juéde,"чувствовать, ощущать; сознавать"
咖啡,kāfēi,кофе
开,kāi,открывать; управлять; вести; включать
开始,kāishǐ,начинать; начало
看,kàn,смотреть; читать (про себя); навестить
看见,kànjiàn,увидеть; видеть
考试,kǎoshì,экзамен; экзамены
可能,kěnéng,возможно; вероятно
可以,kěyǐ,"можно, возможно; дозволено, разрешается"
课,kè,урок; занятия; предмет
块,kuài,сч. сл. для основных денежных единиц; кусок; глыба
快,kuài,"быстрый, скорый; радостный, весёлый"
快乐,kuàilè,весёлый; радостный; весело
来,lái,приходить; прибывать; приезжать
老师,lǎoshī,учитель; преподаватель
了,le,глагольный суффикс завершенности действия
累,lèi,уставать; утомлять(ся)
冷,lěng,холодный; холодно; холод
离,lí,отстоять от; от; покидать
里,lǐ,внутри; в
两,liǎng,два; пара; оба
零,líng,ноль; нолевой
六,liù,шесть; шестой
路,lù,дорога; путь; улица
旅游,lǚyóu,туризм; туристический
妈妈,māma,мама
吗,ma,"фразовая частица, выражающая вопрос"
买,mǎi,"покупать, приобретать"
卖,mài,продавать; торговать
慢,màn,медленный; медлить; отставать
忙,máng,быть занятым; хлопотать
猫,māo,кошка
没,méi,отрицательная частица
没关系,méi guānxi,неважно; ничего; пустяки
每,měi,"каждый, всякий"
妹妹,mèimei,младшая сестра
门,mén,дверь; ворота; вход
米饭,mǐfàn,варёный рис
明天,míngtiān,завтра; завтрашний день
名字,míngzi,имя (человека); кличка (животного)
哪,nǎ,какой; который
那,nà,"тот; то; тогда, в таком случае"
男人,nánrén,мужчина
呢,ne,"фразовая частица, выражающая вопрос же?"
能,néng,способный; способность
你,nǐ,ты; вы; твой; ваш
年,nián,год; годы
您,nín,"Вы, Ваш"
牛奶,niúnǎi,молоко; молочный
女儿,nǚ’er,дочь
女人,nǚrén,женщина
旁边,pángbiān,сбоку; рядом; около
跑步,pǎobù,бег
朋友,péngyou,"друг, товарищ; друзья"
便宜,piányi,дешёвый
票,piào,билет; талон; квитанция
漂亮,piàoliang,красивый
苹果,píngguǒ,яблоко
七,qī,семь; седьмой
妻子,qīzi,жена
起床,qǐchuáng,встать с постели
千,qiān,тысяча; кило-
钱,qián,деньги
前面,qiánmian,перед; передний; впереди; перёд; выше; ранее
晴,qíng,"ясный, безоблачный; проясниться"
请,qǐng,просить; пожалуйста!; приглашать
去,qù,уходить; отправляться; идти
去年,qùnián,прошлый год
让,ràng,заставлять; позволять; разрешать; уступать
热,rè,горячий; увлечение; мода
人,rén,человек; люди
认识,rènshi,знать; быть знакомым; знакомиться
日,rì,"солнце; солнечный; день; число, дата"
三,sān,три; третий
商店,shāngdiàn,магазин
上,shàng,верх; прошлый; на; в
上班,shàngbān,идти на работу; заступить на смену
上午,shàngwǔ,до полудня
少,shǎo,мало; немного; редко
谁,"shuí, shéi",кто; кого; чей
身体,shēntǐ,тело; телосложение; здоровье
什么,shénme,"что?, что такое?; какой?; как?"
生病,shēngbìng,заболеть
生日,shēngrì,день рождения
十,shí,десять; десятый
时候,shíhou,"время, промежуток; времени; во время"
时间,shíjiān,время; промежуток времени
是,shì,есть; быть; являться; да; правда
事情,shìqing,"дело, событие, инцидент; случай, факт"
手表,shǒubiǎo,наручные часы
手机,shǒujī,Мобильный (сотовый) телефон
书,shū,книга
水,shuǐ,вода; водяной; гидро-
水果,shuǐguǒ,фрукты; фруктовый
睡觉,shuìjiào,спать
说话,shuōhuà,говорить; разговаривать
四,sì,четыре; четвёртый
送,sòng,посылать; дарить; провожать
岁,suì,годы; лета
所以,suǒyǐ,потому; таким образом
他,tā,он; его
她,tā,она; её
它,tā,оно; она; он
太,tài,"слишком, чересчур; чрезвычайно"
踢足球,tī zúqiú,играть в футбол
题,tí,тема; вопрос; проблема
天气,tiānqì,погода; климат
跳舞,tiàowǔ,танцевать; плясать
听,tīng,слушать
同学,tóngxué,"соученик, однокашник"
外,wài,"внешний, наружный; снаружи; вне; за"
完,wán,"закончить, завершить; кончиться"
玩,wán,играть; забавляться; гулять; развлекаться
晚上,wǎnshang,вечером; вечер
喂,wèi,кормить; алло!; эй!
为什么,wèishénme,почему; отчего; зачем
问,wèn,спрашивать; справляться о чём-либо
问题,wèntí,вопрос; проблема; тема
我,wǒ,я; мой; наш
我们,wǒmen,мы; наш
五,wǔ,пять; пятый
西瓜,xīguā,арбуз
希望,xīwàng,надеяться; надежда
洗,xǐ,мыть; стирать; купать; умывать
